date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:45	109964/109964	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:45%20GMT	https://sites.google.com/view/rtset/home	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/home.html	(from )
19:28:45	93958/93958	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:45%20GMT	https://sites.google.com/view/rtset/about?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/aboute486.html	(from )
19:28:46	80234/80234	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:46%20GMT	https://sites.google.com/view/rtset/about/bugs?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/bugse486.html	(from )
19:28:46	85487/85487	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:46%20GMT	https://sites.google.com/view/rtset/about/recommended-specs?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/recommended-specse486.html	(from )
19:28:46	84707/84707	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:47%20GMT	https://sites.google.com/view/rtset/about/contact?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/about/contacte486.html	(from )
19:28:47	78709/78709	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:47%20GMT	https://sites.google.com/view/rtset/gallery?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/gallerye486.html	(from )
19:28:47	96834/96834	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:47%20GMT	https://sites.google.com/view/rtset/gallery/day-time?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/gallery/day-timee486.html	(from )
19:28:48	79421/79421	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:48%20GMT	https://sites.google.com/view/rtset/gallery/night-time?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/gallery/night-timee486.html	(from )
19:28:48	147142/147142	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:48%20GMT	https://sites.google.com/view/rtset/changelog?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/changeloge486.html	(from )
19:28:48	76131/76131	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2000:28:49%20GMT	https://sites.google.com/view/rtset/changelog/planned-changes?authuser=0	C:/My%20Web%20Sites/RTSet/sites.google.com/view/rtset/changelog/planned-changese486.html	(from )
